Id_Fecha,Num_Victs,Fecha,Agno,Mes,Dia,Hora,Horario,Direccion,Comuna,pos x,pos y,Participantes,Victima,Acusado
2020-0031,1,2020-06-30,2020,6,30,08:00:00,8,"GARZON, EUGENIO, GRAL. AV. y LARRAYA",9,-58.49344309,-34.65788529,MOTO-CARGAS,MOTO,CARGAS
2020-0032,1,2020-07-10,2020,7,10,23:00:00,23,CORRIENTES AV. y SERRANO,15,-58.44259166,-34.59635137,MOTO-AUTO,MOTO,AUTO
2020-0033,1,2020-07-19,2020,7,19,06:25:00,6,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2020-0034,1,2020-08-02,2020,8,2,03:20:00,3,"MITRE, BARTOLOME y ANCHORENA, TOMAS MANUEL DE, DR.",3,-58.41178158,-34.60922259,PEATON-AUTO,PEATON,AUTO
2020-0035,1,2020-08-04,2020,8,4,05:30:00,5,AUTOPISTA 25 DE MAYO y PUMACAHUA,7,-58.45068621,-34.63638927,MOTO-PASAJEROS,MOTO,PASAJEROS
2020-0036,1,2020-08-07,2020,8,7,18:40:00,18,"SCALABRINI ORTIZ, RAUL AV. y PARAGUAY",14,-58.42016954,-34.58778790,PEATON-MOTO,PEATON,MOTO
2020-0037,1,2020-08-29,2020,8,29,04:30:00,4,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.43850413,-34.65554754,PEATON-AUTO,PEATON,AUTO
2020-0038,2,2020-08-30,2020,8,30,04:00:00,4,"LAS HERAS GENERAL AV. y DIAZ, CNEL. AV.",14,-58.40617526,-34.58345898,AUTO-AUTO,AUTO,AUTO
2020-0039,1,2020-09-01,2020,9,1,19:17:42,19,MURGUIONDO,9,.,.,PEATON-CARGAS,PEATON,CARGAS
2020-0040,1,2020-09-12,2020,9,12,03:30:00,3,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.38526125,-34.57805810,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
